Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1472,SC160,RM,21.0,1680,2,None,4,Lvl,4.0,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3.0,3,No,3,156.0,0,0.0,327.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3.0,5,8.0,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3.0,2,275,0,0,0,0,0,0.0,None,None,0,Feb,2010,COD,Normal,
1473,SC160,RM,21.0,1680,2,None,4,Lvl,4.0,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3.0,3,No,3,300.0,0,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3.0,6,8.0,0,0,Detchd,1997.0,Unf,1.0,320.0,3,3.0,2,0,0,0,0,0,0,0.0,None,None,0,Mar,2010,WD,Normal,
1474,SC160,RL,24.0,2280,2,None,4,Lvl,4.0,FR2,3,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,3.0,3,No,5,514.0,0,0.0,341.0,855.0,GasA,3,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,4.0,6,8.0,1,3,Attchd,1975.0,Unf,2.0,440.0,3,3.0,2,173,0,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1475,SC120,RL,24.0,2280,2,None,4,Lvl,4.0,FR2,3,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4.0,3,No,1,0.0,0,0.0,836.0,836.0,GasA,5,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,3.0,4,8.0,0,0,Attchd,1975.0,Unf,1.0,308.0,3,3.0,2,0,30,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1476,SC60,RL,102.0,12858,2,None,3,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5.0,3,No,1,0.0,0,0.0,1590.0,1590.0,GasA,5,Y,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,5.0,10,8.0,1,4,Attchd,2009.0,Fin,3.0,751.0,3,3.0,2,144,133,0,0,0,0,0.0,None,None,0,Jan,2010,New,Partial,
1477,SC20,RL,94.0,12883,2,None,3,Lvl,4.0,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4.0,3,No,1,0.0,0,0.0,1544.0,1544.0,GasA,5,Y,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,4.0,7,8.0,0,0,Attchd,2009.0,RFn,3.0,868.0,3,3.0,2,0,35,0,0,0,0,0.0,None,None,0,Jun,2010,New,Partial,
1478,SC20,RL,90.0,11520,2,None,4,Lvl,4.0,Inside,3,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5.0,3,No,6,110.0,0,0.0,1588.0,1698.0,GasA,5,Y,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,5.0,7,8.0,1,4,Attchd,2005.0,Fin,3.0,730.0,3,3.0,2,192,74,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1479,SC20,RL,79.0,14122,2,None,3,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,3,PConc,5.0,3,No,6,28.0,0,0.0,1794.0,1822.0,GasA,5,Y,SBrkr,1822,0,0,1822,0.0,0.0,2,0,3,1,5.0,8,8.0,1,4,Attchd,2005.0,RFn,3.0,678.0,3,3.0,2,0,119,0,0,0,0,0.0,None,None,0,Feb,2010,WD,Normal,
1480,SC20,RL,110.0,14300,2,None,4,HLS,4.0,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,5,3,PConc,5.0,3,3,6,1373.0,0,0.0,1473.0,2846.0,GasA,5,Y,SBrkr,2696,0,0,2696,0.0,0.0,2,1,3,1,5.0,10,8.0,2,4,Attchd,2003.0,Fin,3.0,958.0,3,3.0,2,220,150,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1481,SC60,RL,105.0,13650,2,None,4,Lvl,4.0,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,4,3,PConc,4.0,3,3,6,578.0,0,0.0,1093.0,1671.0,GasA,5,Y,SBrkr,1687,563,0,2250,0.0,0.0,2,1,3,1,4.0,7,8.0,1,5,Attchd,2002.0,Fin,3.0,756.0,3,3.0,2,238,130,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1482,SC120,RL,41.0,7132,2,None,3,Lvl,4.0,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4.0,3,1,6,24.0,0,0.0,1346.0,1370.0,GasA,5,Y,SBrkr,1370,0,0,1370,0.0,0.0,2,0,2,1,4.0,6,8.0,1,4,Attchd,2006.0,RFn,2.0,484.0,3,3.0,2,120,49,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1483,SC20,RL,100.0,18494,2,None,3,Lvl,4.0,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,1,0.0,0,0.0,1324.0,1324.0,GasA,5,Y,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,4.0,6,8.0,0,0,Attchd,2005.0,Fin,2.0,430.0,3,3.0,2,36,23,0,0,0,0,0.0,None,None,0,Jan,2010,WD,Normal,
1484,SC120,RL,43.0,3203,2,None,4,Lvl,4.0,Inside,3,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,4,3,PConc,4.0,3,2,6,16.0,0,0.0,1129.0,1145.0,GasA,5,Y,SBrkr,1145,0,0,1145,0.0,0.0,2,0,2,1,4.0,6,8.0,0,0,Attchd,2006.0,Fin,2.0,437.0,3,3.0,2,100,116,0,0,0,0,0.0,None,None,0,Jan,2010,WD,Normal,
1485,SC80,RL,67.0,13300,2,None,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,6,326.0,0,0.0,58.0,384.0,GasA,5,Y,SBrkr,744,630,0,1374,0.0,0.0,2,1,3,1,4.0,7,8.0,1,4,BuiltIn,2004.0,Fin,2.0,400.0,3,3.0,2,100,0,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1486,SC60,RL,63.0,8577,2,None,3,Lvl,4.0,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,1,0.0,0,0.0,847.0,847.0,GasA,5,Y,SBrkr,847,886,0,1733,0.0,0.0,2,1,3,1,4.0,7,8.0,1,4,BuiltIn,2004.0,Fin,2.0,433.0,3,3.0,2,144,48,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1487,SC60,RL,60.0,17433,2,None,2,Lvl,4.0,CulDSac,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,4,3,PConc,5.0,3,No,1,0.0,0,0.0,1629.0,1629.0,GasA,5,Y,SBrkr,1645,830,0,2475,0.0,0.0,2,1,4,1,4.0,7,8.0,1,3,Attchd,1998.0,Fin,3.0,962.0,3,3.0,2,23,172,0,0,256,0,0.0,None,None,0,Jan,2010,WD,Normal,
1488,SC20,RL,73.0,8987,2,None,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4.0,3,,1,0.0,0,0.0,1595.0,1595.0,GasA,5,Y,SBrkr,1595,0,0,1595,0.0,0.0,2,0,2,1,4.0,6,8.0,1,4,Attchd,2005.0,RFn,3.0,880.0,3,3.0,2,144,0,0,0,0,0,0.0,None,None,0,May,2010,WD,Normal,
1489,SC20,FV,92.0,9215,2,None,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,1,0.0,0,0.0,1218.0,1218.0,GasA,5,Y,SBrkr,1218,0,0,1218,0.0,0.0,2,0,2,1,4.0,4,8.0,0,0,Attchd,2009.0,RFn,2.0,676.0,3,3.0,2,0,136,0,0,0,0,0.0,None,None,0,Apr,2010,New,Partial,
1490,SC20,FV,84.0,10440,2,None,4,Lvl,4.0,Corner,3,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3,No,6,1414.0,0,0.0,54.0,1468.0,GasA,5,Y,SBrkr,1468,0,0,1468,0.0,0.0,2,0,2,1,4.0,6,8.0,1,4,Attchd,2005.0,Fin,2.0,528.0,3,3.0,2,0,102,0,0,216,0,0.0,None,None,0,May,2010,WD,Normal,
1491,SC60,RL,70.0,11920,2,None,4,Lvl,4.0,Inside,3,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,4,3,PConc,4.0,3,2,1,0.0,0,0.0,831.0,831.0,GasA,5,Y,SBrkr,831,828,0,1659,0.0,0.0,2,1,3,1,4.0,8,8.0,0,0,Attchd,2004.0,RFn,2.0,484.0,3,3.0,2,144,68,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1492,SC30,RH,70.0,9800,2,None,4,Lvl,4.0,Corner,3,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,2,BrkTil,3.0,3,No,1,0.0,0,0.0,816.0,816.0,GasA,3,N,FuseA,1012,0,0,1012,0.0,0.0,1,0,2,1,3.0,5,8.0,0,0,Detchd,1920.0,Unf,1.0,429.0,3,3.0,2,121,0,80,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1493,SC20,RL,39.0,15410,2,None,3,Lvl,4.0,CulDSac,3,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,3,4,CBlock,3.0,3,3,4,126.0,6,859.0,223.0,1208.0,GasA,5,Y,SBrkr,1494,0,0,1494,1.0,0.0,2,0,3,1,3.0,7,8.0,2,2,Attchd,1974.0,Fin,2.0,461.0,3,3.0,2,296,0,186,0,0,0,0.0,GdPrv,None,0,Apr,2010,WD,Abnorml,
1494,SC60,RL,85.0,13143,2,None,3,Lvl,4.0,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504.0,4,3,PConc,4.0,3,No,2,250.0,6,981.0,0.0,1231.0,GasA,5,Y,SBrkr,1251,1098,0,2349,1.0,0.0,2,1,4,1,4.0,9,8.0,1,3,Attchd,1993.0,RFn,3.0,762.0,3,3.0,2,32,130,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1495,SC60,RL,88.0,11134,2,None,4,Lvl,4.0,Inside,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,4,3,PConc,4.0,3,No,6,1129.0,0,0.0,261.0,1390.0,GasA,5,Y,SBrkr,1402,823,0,2225,0.0,0.0,2,1,4,1,4.0,7,8.0,1,3,Attchd,1992.0,RFn,3.0,713.0,3,3.0,2,198,30,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1496,SC120,FV,25.0,4835,2,None,3,Lvl,4.0,CulDSac,3,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,5.0,3,2,6,1298.0,0,0.0,190.0,1488.0,GasA,5,Y,SBrkr,1488,0,0,1488,0.0,0.0,2,0,2,1,4.0,6,8.0,1,4,Attchd,2004.0,Fin,2.0,506.0,3,3.0,2,168,50,0,0,0,0,0.0,None,None,0,Mar,2010,WD,Normal,
1497,SC160,FV,39.0,3515,2,2,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,1,0.0,0,0.0,840.0,840.0,GasA,5,Y,SBrkr,840,840,0,1680,0.0,0.0,2,1,2,1,4.0,3,8.0,0,0,Attchd,2004.0,RFn,2.0,588.0,3,3.0,2,0,111,0,0,0,0,0.0,None,None,0,Jan,2010,WD,Normal,
1498,SC160,FV,30.0,3215,2,2,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,4,3,PConc,4.0,3,2,6,280.0,0,0.0,320.0,600.0,GasA,5,Y,SBrkr,600,600,0,1200,0.0,0.0,2,1,2,1,4.0,4,8.0,0,0,Detchd,2004.0,RFn,2.0,480.0,3,3.0,2,0,172,0,0,0,0,0.0,None,None,0,Apr,2010,ConLD,Normal,
1499,SC160,FV,24.0,2544,2,2,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4.0,3,No,6,368.0,5,42.0,190.0,600.0,GasA,5,Y,SBrkr,600,600,0,1200,1.0,0.0,2,1,2,1,4.0,4,8.0,0,0,Detchd,2004.0,RFn,2.0,480.0,3,3.0,2,0,172,0,0,0,0,0.0,None,None,0,Feb,2010,WD,Normal,
1500,SC160,FV,24.0,2544,2,2,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,4,3,PConc,4.0,3,No,6,376.0,0,0.0,224.0,600.0,GasA,5,Y,SBrkr,600,636,0,1236,0.0,0.0,2,1,2,1,4.0,4,8.0,0,0,Detchd,2005.0,RFn,2.0,480.0,3,3.0,2,0,166,0,0,0,0,0.0,None,None,0,May,2010,WD,Normal,
1501,SC160,FV,,2980,2,None,4,Lvl,4.0,Corner,3,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159.0,4,3,PConc,4.0,3,No,6,466.0,0,0.0,290.0,756.0,GasA,5,Y,SBrkr,756,756,0,1512,0.0,0.0,2,1,2,1,4.0,5,8.0,0,0,Detchd,2000.0,Unf,2.0,440.0,3,3.0,2,0,32,0,0,0,0,0.0,None,None,0,May,2010,WD,Normal,
1502,SC160,FV,,2403,2,None,3,Lvl,4.0,FR2,3,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,6,244.0,0,0.0,286.0,530.0,GasA,5,Y,SBrkr,530,550,0,1080,0.0,0.0,2,1,2,1,4.0,4,8.0,0,0,Attchd,2003.0,RFn,2.0,496.0,3,3.0,2,0,50,0,0,0,0,0.0,None,None,0,Jun,2010,WD,Normal,
1503,SC20,FV,57.0,12853,2,2,3,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5.0,1,No,6,1032.0,0,0.0,610.0,1642.0,GasA,5,Y,SBrkr,1418,0,0,1418,0.0,0.0,1,1,1,1,4.0,6,8.0,1,4,Attchd,2010.0,RFn,3.0,852.0,3,3.0,2,160,192,0,224,0,0,0.0,None,None,0,Apr,2010,New,Partial,
1504,SC60,FV,68.0,7379,2,None,3,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,6,484.0,0,0.0,491.0,975.0,GasA,5,Y,SBrkr,975,873,0,1848,0.0,0.0,2,1,3,1,4.0,7,8.0,1,3,Attchd,2000.0,RFn,2.0,592.0,3,3.0,2,280,184,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1505,SC20,FV,80.0,8000,2,None,4,Lvl,4.0,Inside,3,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3,No,6,833.0,0,0.0,659.0,1492.0,GasA,5,Y,SBrkr,1492,0,0,1492,0.0,0.0,2,0,3,1,4.0,6,8.0,1,4,Attchd,2002.0,RFn,2.0,596.0,3,3.0,2,277,137,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1506,SC20,RL,,10456,2,None,3,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,BrkFace,120.0,3,3,CBlock,3.0,3,No,6,506.0,0,0.0,1323.0,1829.0,GasA,4,Y,SBrkr,1829,0,0,1829,0.0,0.0,2,0,4,1,3.0,8,8.0,0,0,Attchd,1967.0,RFn,2.0,535.0,3,3.0,2,0,76,0,0,0,0,0.0,None,None,0,May,2010,WD,Normal,
1507,SC60,RL,80.0,10791,2,None,4,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,4.0,3,1,6,1137.0,0,0.0,143.0,1280.0,GasA,5,Y,SBrkr,1280,1215,0,2495,0.0,0.0,2,1,4,1,4.0,9,8.0,1,3,Attchd,1993.0,Unf,2.0,660.0,3,3.0,2,224,32,0,0,0,0,0.0,None,None,0,Mar,2010,WD,Normal,
1508,SC50,RL,,18837,2,None,3,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,4.0,3,1,5,687.0,2,46.0,491.0,1224.0,GasA,3,Y,SBrkr,1287,604,0,1891,0.0,1.0,3,0,3,1,3.0,7,8.0,1,3,Attchd,1978.0,RFn,2.0,678.0,3,3.0,2,0,69,0,0,0,0,0.0,None,None,0,Apr,2010,WD,Normal,
1509,SC60,RL,80.0,9600,2,None,4,Lvl,4.0,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,No,5,329.0,0,0.0,386.0,715.0,GasA,3,Y,SBrkr,930,715,0,1645,0.0,0.0,1,2,4,1,3.0,7,8.0,0,0,Attchd,1971.0,RFn,2.0,441.0,3,3.0,2,0,78,0,0,0,0,0.0,GdWo,None,0,Jun,2010,WD,Normal,
